Observation,Y-Kappa,ChipRate,BF-CMratio,BlowFlow,ChipLevel4 ,T-upperExt-2 ,T-lowerExt-2  ,UCZAA,WhiteFlow-4 ,AAWhiteSt-4 ,AA-Wood-4  ,ChipMoisture-4 ,SteamFlow-4 ,Lower-HeatT-3,Upper-HeatT-3 ,ChipMass-4 ,WeakLiquorF ,BlackFlow-2 ,WeakWashF ,SteamHeatF-3 ,T-Top-Chips-4 ,SulphidityL-4 
6-02:00,16.5,11.958,108.493,1282.021,323.56,360.958,331.173,1.46,686.076,,19.227,48.707,72.6,322.549,294.688,174.73,1052.428,1036.423,0.638,52.346,250.424,
6-03:00,18.4,11.817,87.893,1268.595,384.941,359.381,328.182,1.253,620.819,6.207,19.194,47.907,68.653,322.267,298.114,159.595,1013.265,985.213,0,46.75,250.958,31.6
6-04:00,21.5,14.433,79.939,1287.012,338.514,358.537,325.669,1.242,611.104,,19.195,47.71,66.502,321.977,296.164,149.802,992.309,967.64,1.328,43.179,250.953,
6-05:00,23.2,16.1,81.242,1283.626,340.045,357.163,324.449,1.501,536.489,6.22,19.193,47.137,60.968,321.448,295.154,146.406,1012.146,1040.654,0,40.838,252.286,31.66
6-06:00,26.02,15.8,79.293,1291.149,271.419,355.922,323.014,1.623,537.862,,19.195,47.373,60.49,320.845,293.856,141.382,1099.121,1128.464,220.444,45.761,251.543,
6-07:00,19.78,16.283,80.291,1290.006,197.719,358.333,325.1,1.492,628.143,6.12,19.291,47.721,67.361,321.174,293.312,160.638,1122.11,1120.951,309.598,54.99,250.74,30.79
6-08:00,19.22,16.067,81.045,1288.618,199.072,360.846,328.08,1.583,703.979,,19.302,48.007,72.321,321.93,293.552,175.811,1103.495,1138.627,261.159,56.213,250.007,
6-09:00,19.02,15.9,82.638,1292.604,218.707,362.036,330.491,1.546,695.383,6.14,19.206,47.821,74.131,322.848,294.929,174.603,1132.181,1145.09,278.136,54.438,250.063,32.84
6-10:00,16.12,15.642,81.822,1294.158,104.615,360.561,328.752,1.631,708.251,,19.133,47.387,72.254,321.73,294.261,174.4,1099.527,1145.089,280.91,55.486,250.211,
6-11:00,17.35,15.817,80.424,1284.11,63.911,361.202,330.145,1.591,704.233,6.155,19.148,46.964,72.722,322.656,295.148,175.455,1078.775,1134.439,281.897,53.362,250.022,30.305
6-12:00,15.03,15.967,81.685,1289.941,128.006,360.246,329.993,1.556,695.485,,19.307,46.871,70.871,322.392,295.757,171.207,1050.292,1126.439,282.788,52.344,250.083,
6-13:00,18.69,15.792,82.336,1285.124,105.54,359.788,329.403,1.532,686.94,6.19,19.3,47.054,69.772,321.931,295.444,166.616,1036.661,1126.588,284.877,52.481,250.048,30.16
6-14:00,17.3,15.608,84.865,1300.553,71.984,360.103,330.155,1.546,686.381,,19.202,47.148,70.205,322.037,294.924,171.309,1043.172,1117.408,237.808,53.592,250.032,
6-15:00,17.79,15.342,84.464,1295.815,101.126,359.076,330.339,1.586,688.822,6.14,19.196,47.663,71.868,321.778,294.727,175.277,985.697,1106.146,201.505,53.343,250.271,30.21
6-16:00,17.98,14.936,85.838,1282.114,132.492,358.374,330.522,1.596,691.67,,19.198,48.14,72.056,321.536,294.671,174.934,1045.631,1105.849,191.701,53.362,250.032,
6-17:00,19.32,13.933,92.873,1294.028,215.022,358.547,330.216,1.476,684.855,6.088,19.197,48.103,72.89,321.805,295.425,173.204,1092.915,1102.78,182.006,52.367,250.302,30.324
6-18:00,16.72,13.958,92.424,1295.482,282.313,357.367,328.813,1.404,677.988,6.089,19.201,46.953,70.606,320.947,294.5,166.972,1037.476,1080.11,300.083,52.037,250.032,29.933
6-19:00,20.07,14.017,92.022,1288.307,369.894,357.082,328.406,1.42,658.869,,19.114,46.34,68.4,320.833,297.377,161.332,1055.989,1066.416,279.993,49.307,249.751,
6-20:00,22.1,14,92.32,1297.863,346.952,354.59,326.076,1.356,619.751,6.13,19.106,46.058,65.795,319.782,296.444,152.523,970.438,1049.396,166.084,43.421,250.271,30.619
6-21:00,23.16,14.058,86.336,1301.516,317.365,355.098,324.805,1.335,619.75,,19.103,46.528,65.434,320.111,296.148,151.15,903.299,1067.173,205.541,44.576,250.394,
6-22:00,25.1,15.075,80.024,1281.051,343.214,354.905,325.323,1.377,618.276,6.18,19.105,46.976,59.783,320.077,295.551,157.611,901.062,1069.602,309.348,46.209,250.821,30.37
6-23:00,25.52,16.008,77.07,1285.782,338.656,355.149,325.669,1.462,619.954,,19.139,47.907,63.048,320.28,295.959,158.476,878.072,1069.102,264.774,46.03,250.724,
7-00:00,24.16,16.683,76.753,1280.487,267.235,355.892,327.226,1.678,621.684,6.145,19.179,48.008,64.686,320.424,295.821,159.735,900.706,1085.73,424.195,48.975,250.729,30.415
7-01:00,20.4,16.683,76.838,1254.38,199.766,356.899,328.609,1.621,659.068,,19.269,47.915,67.931,320.682,295.226,170.355,941.09,1093.449,473.274,55.217,250.79,
7-02:00,18.33,16.325,75.644,1234.263,158.626,358.079,330.166,1.65,700.063,6.13,19.289,48.317,73.429,320.512,293.925,177.287,863.677,1093.523,445.041,58.004,250.226,30.36
7-03:00,16.99,16.317,84.74,1230.147,170.464,359.503,332.017,1.584,723.561,,19.289,49.093,74.843,321.274,293.542,181.026,870.849,1118.268,289.171,58.299,249.885,
7-04:00,15.77,14.517,91.178,1243.059,169.592,359.808,332.637,1.588,731.394,6.135,19.288,48.454,74.091,321.767,293.451,183.506,746.032,1147.552,38.317,59.564,249.763,29.95
7-05:00,13.48,13.633,105.911,1232.975,169.841,360.093,332.841,1.486,715.372,,19.235,47.358,73.719,321.93,293.701,179.78,835.652,1066.626,58.873,58.69,249.188,
7-06:00,14.39,11.642,104.759,1244.014,198.128,361.416,333.614,1.466,717.305,6.13,19.186,48.4,74.93,323.022,294.487,185.172,846.029,970.157,84.701,56.733,249.982,30.54
7-07:00,18.04,11.875,102.457,1242.285,223.763,356.604,329.952,1.251,650.726,,19.192,47.204,70.963,321.385,297.691,156.046,923.95,886.286,43.873,50.948,250.597,
7-08:00,19.93,12.125,98.732,1233.323,270.386,353.542,326.992,1.3,613.139,6.108,19.161,47.143,69.045,319.779,296.94,163.067,973.388,1003.946,41.078,49.735,251.223,30.218
7-09:00,22.92,12.492,90.382,1181.29,301.86,351.05,323.594,1.236,540.964,,19.174,46.577,59.356,318.051,296.435,133.878,906.25,1093.11,43.508,45.527,251.757,
7-10:00,25.41,13.07,,,278.166,351.172,322.353,1.224,542.846,6.13,19.191,46.273,53.461,318.711,295.3,141.076,863.891,1091.979,43.288,48.221,252.042,30.18
7-11:00,24.17,13.75,,,283.738,351.135,321.765,1.306,559.529,,19.191,47.172,62.362,318.888,296.083,153.706,959.228,1093.035,41.454,47.759,250.862,
7-12:00,24.18,14.064,,,226.825,351.807,322.534,1.348,568.685,6.124,19.194,47.131,55.282,319.266,295.585,146.355,934.326,1093.351,39.037,50.132,250.465,29.88
7-13:00,23.83,14.227,,0,220.074,352.981,323.718,1.416,594.97,,19.262,47.925,62.476,321.062,296.846,158.196,977.152,1092.896,81.065,51.821,249.353,
7-14:00,21.56,13.85,,,208.603,353.791,324.605,1.377,622.253,6.052,19.349,48.216,65.1,319.838,296.933,162.714,1054.769,1093.344,203.44,53.163,249.036,29.92
7-15:00,19.02,13.845,,,200.064,355.8,325.547,1.362,639.526,,19.447,48.353,65.515,320.013,295.475,165.494,1074.263,1091.79,203.082,53.482,248.944,
7-16:00,19.46,14.467,,,183.323,356.777,326.31,1.428,651.767,6.118,19.494,48.668,67.219,320.086,294.877,167.048,1031.168,1092.96,178.637,54.201,248.547,29.53
7-17:00,20.05,13.95,,,177.994,356.716,325.924,,633.28,6.095,19.524,48.749,66.888,320.295,295.975,164.581,919.433,1109.266,0,53.057,248.796,30.28
7-18:00,19.9,13.51,,,135.472,356.462,326.086,1.426,636.341,,19.582,49.15,67.429,319.977,295.542,148.234,831.075,1091.67,2.955,53.299,249.124,
7-19:00,20.75,12.967,93.963,1194.181,180.202,357.385,326.355,1.424,653.473,6.073,19.581,48.855,68.084,320.344,295.57,165.84,944.202,1112.31,0,53.432,248.735,29.81
7-20:00,19.94,12.709,99.862,1232.462,201.208,357.875,324.805,1.478,642.944,,19.579,48.74,66.873,320.963,296.513,165.535,705.342,1094.412,87.201,51.043,248.822,
7-21:00,22.21,12.342,91.188,1186.963,243.359,361.581,325.371,1.447,611.877,6.11,19.092,48.324,66.382,323.43,295.814,157.677,661.041,1118.696,259.029,50.812,249.298,30.45
7-22:00,24.4,13.017,82.332,1177.34,244.093,364.569,326.534,1.418,572.754,,18.517,48.224,64.188,326.072,298.469,151.506,638.763,1118.444,228.211,47.216,249.473,
7-23:00,24.8,14.3,78.926,1190.47,245.643,365.586,331.63,1.468,543.235,6.11,18.046,48.004,64.783,326.293,296.859,150.357,702.291,1118.37,415.119,44.262,249.552,30.59
8-00:00,26.1,15.083,78.098,1168.219,233.376,366.604,332.953,1.534,524.18,,17.906,47.592,59.971,327.433,298.459,143.328,797.404,1176.439,497.742,46.377,250.287,
8-01:00,23.12,13.558,85.718,1162.192,160.708,366.939,333.634,1.691,549.611,5.919,17.906,47.71,63.877,327.126,298.789,152.307,728.586,1227.757,414.008,51.295,250.46,30.29
8-02:00,20.1,14.6,81.824,1194.629,111.789,367.916,334.835,1.712,595.286,,17.906,48.11,71.527,327.183,299.737,165.229,708.954,1251.064,489.156,51.655,251.528,
8-03:00,17.81,14.375,83.036,1193.646,111.753,367.377,333.37,1.71,642.588,5.89,17.979,48.222,72.265,326.828,299.157,170.52,746.643,1246.745,486.586,52.135,251.594,30.29
8-04:00,16.1,13.442,95.32,1206.594,182.284,369.106,333.807,,630.635,5.983,17.947,47.357,65.347,328.42,300.653,155.474,795.776,1275.295,344.339,50.736,250.979,30.271
8-05:00,18.3,12.658,97.095,1203.172,197.811,368.872,331.618,1.708,620.87,,17.912,47.826,70.505,328.291,300.146,162.228,751.424,1256.286,263.492,51.987,251.604,
8-06:00,16.9,14.183,101.469,1161.818,221.039,369.503,331.671,1.522,607.34,5.94,17.762,48.316,72.488,329.499,300.599,165.496,727.315,1254.303,304.613,51.717,251.63,29.9
8-07:00,17.6,14.855,93.86,1084.083,303.017,372.524,332.007,1.666,570.701,,17.556,48.125,68.317,331.764,303.786,155.932,626.353,1267.952,305.078,48.67,252.248,
8-08:00,21.4,14.956,87.255,1092.148,284.218,368.547,325.191,1.747,538.777,6,17.508,47.814,64.096,328.853,303.337,145.185,493.856,1249.336,307.808,43.257,252.937,29.43
8-09:00,15.88,14.517,85.569,1097.421,0,367.651,328.304,,583.282,5.95,17.474,48.768,72.254,327.365,302.14,167.913,801.879,1251.793,505.984,54.746,249.244,29.36
8-10:00,17.51,12.825,92.165,1094.463,0,370.845,331.742,1.629,608.82,,17.467,49.221,73.977,329.141,303.207,173.389,795.115,1237.067,405.953,60.733,248.83,
8-11:00,16.5,11.875,97.958,1084.886,0,380.662,333.706,1.623,613.376,6,17.415,48.114,71.917,329.429,303.773,174.069,709.869,1251.43,261.504,63.332,248.751,30.31
8-12:00,16.2,11.075,,,0,376.857,326.809,1.62,594.218,,17.346,47.164,69.004,330.088,306.61,167.811,,1223.783,,57.178,248.893,
8-13:00,16.7,,,,0,373.867,324.184,1.596,533.538,6.006,17.313,45.63,59.31,328.206,304.038,150.399,705.88,1145.549,481.277,50.671,250.683,29.252
8-14:00,16.05,13.114,,,0,,,1.648,500.376,,17.312,44.659,55.18,329.185,303.149,141.763,865.254,,491.514,47.943,251.696,
8-15:00,17.75,11.283,,,41.607,362.545,331.24,1.658,467.265,6.08,17.25,44.644,50.663,,,128.396,836.06,1195.731,418.192,,251.889,29.58
8-16:00,17.12,11.7,90.515,1189.517,,364.437,326.473,1.495,,,,,,328.64,301.676,,890.99,1241.487,388.452,53.654,,
8-17:00,19.2,14.183,85.406,1211.339,354.5,366.827,321.326,1.478,562.029,6.11,17.216,44.938,69.674,329.238,301.817,116.333,819.783,1247.445,282.044,50.032,248.39,30.21
8-18:00,22.09,14.617,88.304,1290.715,355.248,362.514,320.4,1.565,468.841,,17.161,45.348,55.724,327.59,301.406,137.146,804.779,1294.192,144.237,47.981,251.253,
8-19:00,24.13,14.15,91.197,1290.44,219.669,364.65,326.87,1.575,476.929,6.11,17.109,44.509,55.521,328.312,302.081,145.757,862.711,1301.713,134.728,53.498,251.035,30.13
8-20:00,19.6,14.3,86.985,1274.324,239.909,366.4,328.05,,560.343,6.12,17.106,46.119,67.901,328.896,303.061,167.862,742.32,1320.538,331.538,57.404,250.76,29.66
8-21:00,17.9,14.65,97.61,1292.517,285.696,368.231,326.849,1.528,574.178,,17.109,46.911,71.776,331.004,305.116,176.307,933.614,1303.225,410.61,55.62,251.055,
8-22:00,22.3,13.242,81.087,1253.469,299.795,369.828,332.648,1.662,563.039,6.135,17.109,46.068,66.548,331.427,305.347,164.67,663.686,1293.743,375.268,52.562,251.823,29.85
8-23:00,21.8,15.458,87.218,1302.456,211.729,366.726,328.345,1.604,561.666,,17.108,45.822,66.807,329.175,304.325,157.814,774.922,1293.809,491.544,55.824,252.118,
9-00:00,18,14.933,83.035,1295.345,236.402,369.869,332.882,1.675,578.501,6.13,17.108,45.616,68.399,331.873,305.709,170.457,729.248,1291.578,493.116,50.624,251.716,30.12
9-01:00,20.2,15.6,77.384,1265.665,299.581,367.875,333.258,1.581,537.506,,17.107,45.483,61.695,329.401,303.898,156.072,716.159,1292.917,491.182,52.914,252.601,
9-02:00,18.5,16.356,84.712,1293.269,167.847,368.17,332.627,1.689,606.323,6.14,17.108,46.906,68.023,329.719,304.627,176.218,783.01,1293.493,490.535,56.717,251.63,30.52
9-03:00,20.4,15.267,78.326,1294.983,295.683,370.757,337.012,1.66,588.572,,17.107,46.73,69.06,331.434,305.377,170.8,679.911,1315.346,487.086,53.133,251.548,
9-04:00,16.3,15.367,84.01,1290.954,174.06,368.74,329.677,1.648,606.679,6.13,17.065,46.573,71.888,329.404,303.486,165.179,858.439,1319.788,480.61,57.561,251.492,30.34
9-05:00,15.5,15.427,84.636,1305.709,194.568,370.154,328.823,1.675,634.874,,17.059,47.494,74.196,330.611,305.065,182.277,804.598,1321.781,470.223,56.364,250.819,
9-06:00,16.2,14.533,89.558,1301.573,267.787,369.879,327.704,1.623,593.811,6.13,17.026,47.625,73.155,331.063,305.413,174.069,931.782,1319.036,375.503,54.777,251.212,30.13
9-07:00,17.79,13.958,93.027,1300.047,286.515,371.136,327.124,,598.795,6.151,16.951,47.764,72.555,332.026,306.602,174.196,891.398,1319.413,114.067,52.332,251.416,30.57
9-08:00,16.94,13.975,92.824,1284.841,218.649,368.587,325.13,1.513,588.678,6.151,16.908,47.771,72.634,330.272,305.202,174.471,894.755,1318.726,149.118,53.081,251.716,30.57
9-09:00,20.24,13.842,93.617,1296.589,294.893,369.065,325.161,1.604,568.227,6.17,16.908,46.339,71.222,330.891,305.865,173.865,806.406,1320.349,134.57,48.982,252.123,30.25
9-10:00,21.31,13.85,85.448,1280.299,277.133,368.272,321.814,1.609,547.577,,16.91,45.925,65.907,330.428,305.068,164.504,794.352,1207.2,147.192,50.536,252.479,
9-11:00,24.12,14.983,87.836,1280.935,257.195,368.658,321.295,1.551,548.95,6.238,16.91,45.331,64.422,330.875,304.757,161.973,868.255,1321.412,115.828,49.669,252.423,30.21
9-12:00,20,14.817,86.315,1278.895,251.587,368.862,322.272,1.588,536.641,,16.911,45.38,63.501,330.271,304.171,160.689,839.162,1320.162,170.161,47.826,252.601,
9-13:00,20.6,14.142,91.753,1297.544,256.127,375.047,321.844,1.52,535.37,6.23,16.913,45.495,66.207,330.043,303.833,164.301,879.394,1319.599,142.545,50.253,252.453,30.39
9-14:00,23.13,15.058,84.362,1283.011,180.344,381.242,322.597,1.56,568.939,,16.912,46.016,68.19,330.59,304.797,172.352,848.622,1320.038,156.491,51.777,252.113,
9-15:00,21.2,15.417,85.108,1312.077,252.816,390.59,324.306,1.548,587.046,,16.911,46.726,59.241,330.872,305.108,153.732,809.051,1319.539,385.895,49.866,251.273,
9-16:00,21.8,14.475,89.66,1297.833,268.748,385.514,324.367,1.65,553.375,6.1,16.913,46.222,69.518,330.348,304.077,173.98,925.984,1319.664,334.114,52.176,252.357,30.01
9-17:00,18.64,14.133,97.318,1248.918,243.523,374.752,325.608,,589.03,,16.913,44.062,67.534,330.893,304.864,166.807,1016.622,1318.035,248.564,51.31,251.741,
9-18:00,20.44,12.833,94.864,1191.338,239.589,373.633,325.507,1.548,592.895,,16.911,45.123,68.699,330.933,305.157,168.358,951.416,1320.595,173.658,50.301,251.701,
9-19:00,19.8,12.558,94.352,1184.119,297.071,399.135,319.576,1.451,570.058,6.19,16.911,44.198,67.667,330.848,304.616,165.178,906.962,1311.177,25.494,50.528,252.092,30.7
9-20:00,23.01,12.55,90.842,1188.517,289.826,373.633,314.591,1.457,549.306,,16.858,44.079,66.446,330.226,304.686,160.841,887.125,1319.226,0.638,45.549,252.438,
9-21:00,24.32,13.083,88.91,1192.879,318.006,364.081,308.559,1.523,504.852,6.128,16.821,43.734,61.054,327.346,304.363,147.589,804.423,1320.225,0,43.725,253.176,31.13
9-22:00,25.75,13.417,85.451,1186.342,248.312,356.289,310.482,1.474,497.375,,16.822,43.627,58.247,328.092,304.093,144.218,828.328,1320.848,1.276,43.84,253.216,
9-23:00,23.22,13.883,89.165,1202.451,236.865,352.606,315.395,1.484,500.071,6.13,16.856,43.395,59.05,327.819,303.624,143.035,881.661,1320.164,174.332,45.793,253.156,31.56
10-00:00,22.62,13.486,83.33,1177.037,212.868,354.732,317.084,1.48,518.992,,16.906,43.914,59.524,327.923,303.385,148.644,851.318,1319.788,186.834,47.494,252.754,
10-01:00,24.81,13.8,85.33,1177.558,237.025,359.333,318.998,1.486,533.539,6.103,16.91,44.688,64.05,328.095,303.434,156.479,812.306,1319.799,301.566,47.217,252.52,31.26
10-02:00,22.3,13.473,87.663,1181.056,211.836,361.629,323.859,1.561,545.542,,16.91,45.018,63.12,328.897,303.664,159.366,880.504,1318.602,370.787,48.769,252.571,
10-03:00,23.23,13.408,87,1166.519,253.65,362.453,328.05,1.523,538.051,6.093,16.91,45.036,65.881,329.811,303.801,160.507,856.048,1318.977,305.345,48.037,252.549,30.99
10-04:00,21.18,12.625,94.382,1191.576,271.899,361.833,325.212,,550.018,6.076,16.968,45.218,65.881,329.662,304.268,157.496,974.609,1319.977,344.814,46.015,252.55,31.46
10-05:00,22.01,12.642,94.371,1193.009,268.617,361.416,321.519,1.472,540.072,,16.968,45.239,63.068,329.765,304.359,151.799,952.84,1335.995,345.647,46.422,252.637,
10-06:00,22.15,12.555,94.522,1186.677,256.127,360.113,314.622,1.482,533.996,6.049,16.968,45.371,64.02,329.868,304.311,156.046,979.381,1345.628,358.12,45.544,252.626,31.41
10-07:00,23.31,12.575,92.856,1185.77,270.439,359.828,310.5,,514.262,6.068,16.968,45.45,60.419,329.691,303.544,146.164,974.121,1344.445,208.241,44.764,253.064,30.67
10-08:00,23.56,12.77,90.98,1192.67,261.556,360.205,311.438,1.478,510.752,,16.968,45.436,60.459,329.969,303.624,145.528,937.988,1343.609,138.647,45.155,253.13,
10-09:00,23.9,13.109,94.739,1203.974,243.973,359.607,310.754,1.528,507.668,6.097,16.968,45.41,60.505,329.782,303.549,145.084,884.684,1344.64,263.584,46.437,253.075,30.91
10-10:00,23.52,12.708,91.957,1182.905,257.106,360.682,312.309,1.536,510.956,,17.036,45.588,61.273,329.85,303.662,149.706,940.54,1344.245,419.059,44.85,253.056,
10-11:00,22.88,13.058,90.864,1186.527,225.757,360.327,316.188,1.503,517.272,6.05,17.061,45.37,60.04,329.851,303.939,146.673,898.722,1344.346,439.608,46.053,252.985,30.82
10-12:00,21.42,12.808,92.43,1183.872,228.942,360.238,314.529,1.544,532.914,,17.117,45.54,63.434,330.501,304.296,154.436,928.731,1343.911,438.53,45.374,252.687,
10-13:00,23.67,12.483,94.919,1184.907,284.859,360.734,315.12,1.513,520.67,6.093,17.168,45.304,61.695,329.95,303.678,144.93,973.795,1345.998,439.382,44.248,252.804,30.93
10-14:00,21.13,12.958,93.656,1187.866,229.531,359.88,312.659,,529.368,6.085,17.166,45.732,62.626,329.95,303.956,152.282,945.21,1342.811,421.816,46.591,252.759,30.58
10-15:00,21.88,12.683,94.207,1193.284,262.037,360.327,314.317,1.476,521.687,,17.166,45.882,62.463,330.784,304.194,151.277,957.926,1344.402,439.806,45.09,252.835,
10-16:00,23.75,12.667,93.45,1178.252,276.955,347.286,310.97,1.523,513.956,6.068,17.165,45.954,61.141,330.117,304.006,148.174,1027.201,1357.271,381.643,45.264,252.947,30.86
10-17:00,23.67,12.608,89.506,1185.21,230.652,345.882,311.112,1.476,525.502,,17.163,45.977,62.972,330.133,304.291,152.562,930.664,1364.965,300.653,44.61,252.764,
10-18:00,21.35,13.242,94.924,1215.824,251.125,345.485,308.905,1.517,520.162,6.099,17.201,46.032,60.398,329.865,304.102,147.906,972.167,1362.245,219.321,45.439,252.835,31.22
10-19:00,22.97,12.808,91.662,1241.25,264.316,346.767,313.747,1.521,521.687,,17.209,46.354,61.812,330.418,304.253,149.318,938.191,1362.669,152.769,43.637,252.754,
10-20:00,21.33,13.542,87.902,1242.343,243.256,346.401,311.774,1.498,511.159,6.097,17.217,46.092,60.673,329.793,303.925,145.655,933.003,1364.422,392.4,47.262,252.82,30.59
10-21:00,22,14.133,87.813,1279.141,230.884,348.171,315.721,1.536,536.132,,17.212,45.904,63.954,331.778,306.011,152.612,953.653,1363.091,440.591,46.178,252.509,
10-22:00,21.33,14.292,89.791,1283.265,271.792,349.259,318.976,1.587,525.553,6.113,17.248,46.058,61.828,332.338,307.427,146.228,986.002,1375.245,392.864,48.921,252.693,31.08
10-23:00,20.34,14.455,89.281,1290.519,221.306,349.931,319.484,1.538,545.746,,17.256,46.499,66.237,332.746,308.448,156.275,985.817,1388.415,298.113,50.778,252.464,
11-00:00,20.07,14.267,90.302,1288.314,227.163,349.921,318.996,1.596,563.802,6.14,17.259,46.516,68.735,333.052,309.352,158.196,1050.801,1392.868,220.672,52.168,252.398,31.39
11-01:00,20.2,13.675,92.466,1296.842,311.954,350.999,320.451,,571.126,6.107,17.256,46.551,69.635,333.854,311.146,161.21,961.74,1395.767,363.682,51.75,252.275,31.56
11-02:00,19.91,14.025,90.34,1284.328,359.329,348.751,318.589,1.499,579.856,,17.257,46.684,70.403,332.019,309.845,161.914,977.66,1378.727,416.135,49.801,252.265,
11-03:00,20.35,14.217,90.137,1284.458,387.434,351.355,321.722,1.542,572.55,6.186,17.256,46.649,69.376,333.223,309.651,160.473,1005.432,1370.567,424.302,48.578,252.148,31.15
11-04:00,21.44,14.25,91.118,1293.11,375.4,349.849,318.721,1.568,547.373,,17.255,46.728,66.517,332.016,308.655,152.651,1018.554,1368.344,344.262,48.685,252.55,
11-05:00,21.25,14.192,91.907,1286.693,346.418,349.544,318.284,1.598,551.442,6.18,17.254,46.955,68.053,332.175,308.95,158.412,1038.187,1366.592,278.115,50.512,252.504,30.47
11-06:00,20.57,14,89.028,1283.489,334.651,350.317,318.559,1.503,563.547,,17.255,46.988,69.523,332.444,308.953,161.528,1021.606,1369.424,129.433,50.611,252.143,
11-07:00,22.74,14.417,88.088,1286.086,331.215,350.012,318.233,1.526,567.26,,17.256,47.241,70.764,332.468,309.419,162.291,990.614,1369.186,94.11,50.435,252.103,
11-08:00,23.36,14.6,84.981,1275.416,344.211,349.158,317.267,1.559,559.834,,17.258,47.029,69.131,332.161,309.854,159.493,843.282,1368.518,90.342,49.093,252.331,
11-09:00,23.17,15.542,82.392,1280.501,334.242,348.771,316.87,1.596,558.715,6.22,17.261,46.713,68.318,331.51,309.023,156.631,859.558,1367.96,300.409,49.837,252.626,30.48
11-10:00,23.49,15.642,82.027,1283.041,291.001,349.961,319.82,1.627,568.735,,17.255,46.502,68.363,332.019,309.014,160.371,920.593,1367.74,418.209,50.779,252.336,
11-11:00,22.7,15.517,83.008,1288.01,306.886,350.155,322.485,1.59,568.752,6.17,17.255,46.387,67.678,331.854,309.346,160.061,910.013,1381.389,441.934,51.466,252.216,29.59
11-12:00,20.31,15.125,91.165,1261.114,274.374,352.148,323.909,,607.442,6.267,17.258,47.21,73.745,333.016,309.978,172.263,1012.247,1382.538,361.762,53.678,251.594,30.31
11-13:00,21.19,13.833,88.977,1012.859,294.721,351.813,323.004,1.561,596.71,,17.189,47.294,71.654,332.624,308.833,169.376,971.252,1381.884,251.959,53.457,251.818,
11-14:00,21.27,11.383,84.165,981.92,342.858,352.315,322.292,1.553,592.539,6.25,17.167,47.383,73.134,333.596,310.487,171.004,940.938,1375.202,189.529,52.6,251.797,30.4
11-15:00,23.74,11.667,88.13,990.724,349.088,349.697,311.997,1.555,579.875,,17.167,47.661,72.092,332.637,309.538,168.574,973.897,1373.252,81.375,46.994,252.021,
11-16:00,24.41,11.242,80.458,954.092,365.583,342.403,302.669,1.556,546.509,6.236,17.166,47.361,68.806,328.581,306.169,157.026,734.945,1384.979,143.417,39.7,252.479,30.15
11-17:00,21.18,11.858,91.363,1001.95,301.468,342.525,298.499,1.588,461.975,,17.166,46.265,58.415,329.022,304.635,135.506,1008.585,1361.162,475.496,42.26,253.038,
11-18:00,20.37,10.967,99.982,998.153,302.251,344.295,305.08,1.604,471.537,6.261,17.166,46.894,57.26,330.293,304.958,136.358,1067.28,1346.973,237.346,40.713,252.545,30.4
11-19:00,20.2,9.983,102.237,1027.485,369.632,342.576,298.56,1.639,454.091,,17.166,46.861,54.259,328.976,304.282,130.177,1000.752,1361.314,3.88,41.85,252.565,
11-20:00,18.83,10.967,94.472,1036.043,314.321,340.338,287.705,1.515,473.012,6.259,17.164,46.954,56.395,330.224,305.311,136.167,922.424,1356.425,111.716,41.256,252.474,30.35
11-21:00,19.53,11.245,92.564,1040.922,384.977,342.79,284.633,1.368,444.58,,17.164,47.241,53.822,329.335,305.521,124.682,845.214,1301.95,209.575,39.368,252.479,
11-22:00,21.2,11.292,92.194,1041.02,388.538,341.538,297.247,1.457,405.111,6.304,17.166,47.381,51.192,328.289,305.824,113.922,838.094,1292.599,353.625,38.642,253.161,30.57
11-23:00,22.1,10.933,97.752,1038.618,333.743,343.695,305.528,,437.205,6.318,17.105,47.825,56.182,329.052,307.915,122.927,910.166,1294.447,386.579,39.162,253.796,30.75
12-00:00,22.5,10.625,89.193,1010.855,322.47,342.637,305.806,1.571,447.743,,17.15,47.786,58.147,330.078,307.162,130.474,848.433,1290.827,390.214,42.822,253.18,
12-01:00,19.9,11.333,87.405,1033.565,369.383,343.515,302.364,1.592,452.718,6.296,17.254,47.84,55.963,330.842,308.789,128.701,783.417,1293.108,390.049,41.596,252.428,30.73
12-02:00,21,11.825,90.949,1078.498,393.486,345.109,308.647,1.499,443.581,,17.255,47.916,55.516,330.234,308.253,126.221,820.75,1294.998,390.281,39.561,252.836,
12-03:00,22,11.858,93.199,1171.206,366.787,345.261,310.115,1.513,428.202,6.34,17.254,48.216,52.494,330.589,309.152,122.011,816.02,1294.891,391.607,42.08,253.206,30.24
12-04:00,19.5,12.567,96.937,1204.438,300.098,345.516,311.489,1.578,454.678,,17.254,47.82,58.135,330.093,307.904,121.49,918.355,1296.989,388.881,44.507,253.308,
12-05:00,19,12.425,92.905,1272.03,316.226,345.811,307.806,1.633,469.045,6.33,17.254,46.76,60.307,329.997,308.072,137.719,865.661,1292.216,391.645,44.33,253.323,30.31
12-06:00,19.2,13.692,95.157,1298.896,356.708,347.293,307.003,1.501,471.791,,17.254,47.075,58.089,329.527,307.095,132.975,914.133,1317.664,390.061,47.614,252.85,
